PROCESSOS - CONSELHO DE TRANSFORMAÇÃO DIGITAL,,,,,,,,,"R$ 1.030.247.955,41",,,,,,"R$ 428.862.865,16",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVIDêNCIAS,ID,DATA RECEB CTD,PROCESSO,ÓRGÃO,OBJETO,CATEGORIAS DA DEMANDA,SUB-CATEGORIA PRINCIPAL,MODALIDADE DE CONTRATAÇÃO,VALOR SOLICITADO,RESPONSÁVEL FICHA TÉCNICA,STATUS DA FICHA (TÉCNICOS),CATEGORIA VALOR,REUNIÃO CTD,STATUS DELIBERAÇÃO CONSELHO ou COMITÊ,VALOR APROVADO,TEM NO DOE?,VALOR CONTRATADO,DATA CONTRATAÇÃO,FORMA DE EXECUÇÃO,VIGÊNCIA DA CONTRATAÇÃO,COMPROMISSO DE GOVERNO ,MARCO TEMPORAL,OBSERVAÇÃO GOVERNADOR,OBSERVAÇÕES  SIA,Coluna 1,Coluna 2,RENOVAÇÃO,CONTRATO,VALOR MENSAL PAGO,PLANO ESTRATÉGICO,SISTEMA (TIPO),INFRAESTRUTURA E EQUIPAMENTOS (TIPO),CONSULTORIA / OUTROS SERVIÇOS de TIC,CONCLUSÃO TÉCNICA DA FICHA,DESPACHO DECISÓRIO COMITÊ (ABAIXO DE 600MIL),DESPACHO AD REFEREDUM (ACIMA DE 600 MIL),OBSERVAÇÕES REUNIÃO,OBSERVAÇÕES,REUNIÃO - DATA,PONTO DE PAUTA NA REUNIÃO
,DCTD18,16/04/2024,00027.006692/2023-04,SSP,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM DIGITAÇÃO E GERENCIAMENTO DE DOCUMENTOS,CONSULTORIA E SERVIÇOS DE TIC,Serviços / Digitalização de Documentos,Adesão à Ata de Registro de Preços,"R$ 3.054.256,00",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,ANTES COMITÊ,APROVADO,"R$ 3.054.256,00",,,,Contratação de Pessoa Jurídica,12M,CG-171,ANTES DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2 ,,,Impressão e digitalização;,,,,,Sem despacho de aprovação.,,
,DCTD10,21/05/2024,00011.000654/2024-90,SEDUC,Contratação de empresa especializada nos produtos da plataforma Red Hat. ,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Datacenter / Soluções de Segurança,Adesão à Ata de Registro de Preços,"R$ 3.022.500,00",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,30/07/2024,APROVADO,"R$ 3.022.500,00",,"R$ 3.022.500,00",28/11/2024,Contratação de Pessoa Jurídica,24M,CG-075,ANTES DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2 ,,Infraestrutura de TIC,,NÃO SE APLICA,NÃO SE APLICA,NÃO SE APLICA,JA ESTAVA NA REUNIAO PASSADA. A ETIPI DISSE QUE ESTÁ COM O VALOR GOVPI,,30/07/2024,P12
,DCTD17,29/05/2024,00012.009477/2024-05,SESAPI,"CONTRATAÇÃO DE SOLUÇÃO INTEGRADA PARA IMPLEMENTAÇÃO DE SOFTWERE DE GESTÃO DE SAÚDE, PARA ATENDER AS NECESSIDADES DA SECRETARIA DE ESTADO DA SAÚDE",SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Pregão Eletrônico,"R$ 54.150.000,00",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,ANTES COMITÊ,APROVADO,"R$ 54.150.000,00",,"R$ 54.150.000,00",16/07/2024,Contratação de Pessoa Jurídica,12M,CG-031,ANTES DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 2 ,Desenvolvimento (Novo Sistema),,,,,,,Sem despacho de aprovação.,,
,DCTD16,06/06/2024,00030.004247/2024-23,DETRAN,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA VISANDO A AQUISIÇÃO E IMPLANTAÇÃO DE SOLUÇÕES TECNOLOGICAS PARA A MODERNIZAÇÃO DO DEPARTAMENTO,SISTEMA,Novo Sistema / Contratação de Pessoa Jurídica,Adesão à Ata de Registro de Preços,"R$ 9.903.422,76",NÃO SE APLICA,NÃO SE APLICA,ACIMA 600 MIL,30/07/2024,REJEITADO,"R$ 0,00",,,,Contratação de Pessoa Jurídica,12M,CG-005,DEPOIS DO COMITÊ,,*Rejeitado,,,*rejeitado*,*rejeitado*,*rejeitado*,EIXO ESTRATÉGICO 2,,,,NÃO SE APLICA,NÃO SE APLICA ,,,*Rejeitado,30/07/2024,
,DCTD20,10/06/2024,00153.000238/2024-77,SETUR,AQUISIÇÃO DE MATERIAS DE INFORMÁTICA PARA ATENDER AS NECESSIDADES DA SECRETARIA DE TURISMO DO ESTADO DO PIAUÍ,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Contratação Direta (Dispensa),"R$ 40.490,00",NÃO SE APLICA,CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 40.490,00",,"R$ 40.490,00",Não achei contrato,Contratação de Pessoa Jurídica,12M,CG-105,ANTES DO COMITÊ,,,,,,,,EIXO ESTRATÉGICO 1 ,,"Infraestrutura de TIC, Materiais e Equipamentos de TIC",,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,NÃO SE APLICA (ABAIXO DO VALOR MÍNIMO),
,DCTD19,02/07/2024,00002.012947/2023-48,SEAD,"CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE SOLUÇÃO DE SEGURANÇA PARA EMAIL,ENDPOINT E PROTEÇAO CONTRA ATAQUES AVANÇADOS, POR 36 MESES",INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Datacenter / Soluções de Segurança,Pregão Eletrônico,"R$ 47.929.739,91",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,"06/01/2025, 17/06/2025",APROVADO,"R$ 11.803.143,45",,,,Contratação de Pessoa Jurídica,24M,NÃO,DEPOIS DO COMITÊ,"*Devolvolvido após reunião para redimensionamento de valor, limitando-o em 20% dos quantitativos*","*Devolvolvido para redimensionamento de valor, limitando-o em 20% dos quantitativos*",,,NÃO,,,"PPA - Eixo 08: Gestão por Resultados - Programa: Gestão, Inovação e Transformação Digital",Assinatura,,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,0,"2 MILHOES / MES. SEAD, SESAP, SEDUC, SEFAZ E SSP. GOV PEDIU PREÇOS. DETALHAR MAIS E FAZER COMPARAÇÕES.. LUCIANO FALOU Q É 480  POR ANO. GOV PEDIU QUE SERVIÇOS COMUNO (NUVEM, ANTIVIRUS, FABRRICA), TEM QUE TER PREÇOS DE REFERÊNCIA PARA MELHORAR A DECISAÕ",,06/01/2025,P9
,DCTD11,02/07/2024,00003.000086/2024-26,PGE,"Contratação de empresa especializada na prestação de serviços técnicos na área de tecnologia da informação para atender demandas de desenvolvimento, manutenção e sustentação de sistemas e aplicativos e de operação ininterrupta de ambiente tecnológico, através de metodologia ágil - Sistema GEDAI (aplicação projetada para auxiliar na gestão da dívida ativa, oferecendo diversos módulos para funcionalidades específicas como ajuizamento automatizado de petições iniciais, notificações e protestos)",SISTEMA,Novo Sistema / Fábrica Software,Pregão Eletrônico,"R$ 1.192.620,93",THIAGO (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 1.192.620,93",,"R$ 1.192.615,88",11/07/2025,Fábrica de Software,12M,NÃO,DEPOIS DO COMITÊ,,FICHA REVISADA - FICHA NO SEI COM DESPACHO (AGUARDANDO REUNIÃO DO CONSELHO),,,NÃO,,,Aperfeiçoamento da gestão e da recuperação da dívida,Desenvolvimento (Novo Sistema),,,AGUARDANDO REUNIÃO DO CONSELHO PARA DELIBERAÇÃO,NÃO SE APLICA ,,FICAR PARA PROXIMA REUNIAO. DETALHAR. SISTEMA DE DIVIDA ATIVA E CLASSIFICAÇÃO DE PROCESSOS (FABRICA DE SOFTWARE). Dois processos Principe e GEDAI. ,,24/10/2024,P3
,DCTD14,02/07/2024,00309.000626/2024-37,ADAPI,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇO DE SUPORTE TÉCNICO, MANUTENÇÃO, ATUALIZAÇÃO  DE VERSÕES E EVOLUÇÃO CONTÍNUA DO SISTEMA DE DEFESA DE AGROPECUÁRIA DO ESTADO DO PIAUÍ (SIDAPI)",SISTEMA,Sistema Existente / Contratação de Pessoa Jurídica,Contratação Direta (Inexigibilidade),"R$ 1.176.600,00",EQUIPE (SIA),CONCLUÍDO,ACIMA 600 MIL,24/10/2024,APROVADO,"R$ 1.176.600,00",,"R$ 1.176.600,00",19/08/2024,Contratação de Pessoa Jurídica,12M,CG-130,DEPOIS DO COMITÊ,,AD REFERENDUM,,,NÃO,022/2024,"98.050,00",Programa Piauí + Ater,Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,SUGERE DEFERIMENTO,NÃO SE APLICA ,SIM,,DECISÃO AD REFERENDUM DEVIDO À URGÊNCIA. ESTAVA EM PAG. INDENIZATÓRIO,AD REFERENDUM,
,DCTD12,02/07/2024,00003.004650/2023-07,PGE,AQUISIÇÃO DE MICRO COMPUTADORES,INFRAESTRUTURA E EQUIPAMENTOS DE TIC,Equipamentos de TIC,Adesão à Ata de Registro de Preços,"R$ 442.872,80",MÁRCIO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 442.872,80",,"R$ 442.872,80",23/06/2024 e 26/09/2024,Contratação de Pessoa Jurídica,ÚNICA,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,19/2024,"47.139,60","Objetivo Estratégico de ""Avançar em Políticas de Transformação Digital""",,Materiais e Equipamentos de TIC,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,30/07/2024,P4
,DCTD13,02/07/2024,00003.004121/2024-86,PGE,CONTRATAÇÃO DE SERVIÇOS DE DESENVOLVIMENTO E MANUTENÇÃO PARA CORREÇÃO DE ERROS NO SISTEMA GERÊNCIA PROCESSUAL PRINCIPE,SISTEMA,Sistema Existente / Fábrica Software,Contratação Direta (Dispensa),"R$ 58.900,00",THIAGO (SIA),CONCLUÍDO,ABAIXO DE 600 MIL,NÃO SE APLICA,APROVADO,"R$ 58.900,00",,"R$ 58.900,00",03/10/2024,Fábrica de Software,ÚNICA,NÃO,DEPOIS DO COMITÊ,,,,,NÃO,,,"Representação judicial, incluindo demandas fiscais, do Estado e de suas entidades de Adm. Indireta",Desenvolvimento (Manutenção / Aperfeiçoamento ou Sustentação),,,SUGERE DEFERIMENTO,APROVADO,APROVADO,,,30/07/2024,P5
